Accuracy,Validation Loss,Elapsed time,Batch Size,Hidden layer,Hidden Num,Learning Rate,Epochs
0.11134920634920635,0.09000769257545471,351.3965198993683,76,"[947, 396, 343, 661, 294, 689, 893, 862, 625]",10,0.021300778528843146,13
0.9603174603174603,0.006239580921828747,1100.3153204917908,29,"[673, 884, 547, 399, 370, 736, 408, 746, 480]",10,1.3290878925364584e-05,18
0.11341269841269841,0.08993136137723923,148.56832647323608,71,"[246, 307, 618, 797, 823, 526, 781]",8,0.008544031732468895,11
0.10246031746031746,0.09013045579195023,448.12903666496277,58,"[977, 395, 833, 987, 973, 655, 845, 301]",9,0.006684131963719381,13
0.9839682539682539,0.0030211282428354025,130.2722930908203,48,"[929, 738]",3,0.0009990248350083479,13
0.11119047619047619,0.09019874781370163,271.5173692703247,61,"[876, 920, 207, 367, 759, 878, 420, 454]",9,0.022812006680440835,11
0.9730952380952381,0.004098604433238506,268.6319508552551,87,"[755, 510, 508, 353, 470, 633, 606, 505]",9,3.79679817188945e-05,17
0.9738888888888889,0.0043277740478515625,188.9772243499756,79,"[945, 266, 881, 748]",5,0.0004371703446864414,18
0.9761904761904762,0.00390813359990716,152.97862887382507,69,"[986, 515, 324, 452, 209]",6,0.0008386502148540729,15
0.9787301587301588,0.003600719152018428,237.6899857521057,29,"[845, 671, 278]",4,0.001943108370641696,17
0.9826190476190476,0.0029587317258119583,156.19125604629517,45,"[937, 393, 455]",4,0.0014397165344222822,17
0.9831746031746031,0.003011366818100214,231.60215592384338,14,"[763, 425]",3,0.0002827573843788827,13
0.9834920634920635,0.00592020945623517,680.3976469039917,3,[938],2,0.0001561262964931291,13
0.9864285714285714,0.0028686902951449156,150.14563941955566,17,"[799, 220]",3,0.00010888340106464014,14
0.9865079365079366,0.002680495847016573,162.64705514907837,15,"[791, 204]",3,0.0001319360950587691,14
0.9834126984126984,0.003029011422768235,766.5352113246918,3,"[786, 213]",3,0.0001158353582002711,14
0.9829365079365079,0.00637691468000412,196.86011791229248,11,[961],2,0.000541419348328784,13
0.9836507936507937,0.0026952496264129877,579.8748035430908,4,"[797, 294]",3,8.188689357459075e-05,14
0.9842857142857143,0.0026845387183129787,606.1389155387878,4,"[833, 317]",3,8.129159991788679e-05,13
0.9862698412698413,0.0027217583265155554,113.11531949043274,23,"[553, 310]",3,0.00018410040136537505,14
0.9853968253968254,0.0025191842578351498,537.0599167346954,9,"[980, 906]",3,0.00010208661277237501,14
0.9861111111111112,0.0025950486306101084,131.97380185127258,56,"[979, 904]",3,0.0003009563381350618,13
0.986031746031746,0.002397612202912569,463.30948400497437,9,"[892, 812]",3,9.210540204710093e-05,14
0.9842857142857143,0.002623151056468487,268.6468987464905,15,"[890, 542]",3,0.0002208633969169418,13
0.9867460317460317,0.002553164027631283,305.36562728881836,13,"[847, 938]",3,0.00016556762696970685,12
0.9879365079365079,0.0024168125819414854,502.8250846862793,9,"[837, 817]",3,0.00010759508073936264,14
0.9857142857142858,0.002443040255457163,840.3854296207428,5,"[838, 802]",3,9.10406826649132e-05,13
